issue,firstpage,film,dimension_1,dimension_2,area,date,names
VAR-07,15,STRAIGHT OUTTA COMPTON,10.25,13.25,135.8125,12/15/15,  
VAR-07,17,BEASTS OF NO NATION,10.25,13.25,135.8125,12/15/15,  
VAR-07,23,STRAIGHT OUTTA COMPTON,10.25,13.25,135.8125,12/15/15,  
VAR-07,24,BEASTS OF NO NATION,6.25,2.125,13.28125,12/15/15,  
VAR-07,35,SPY,10.25,13.25,135.8125,12/15/15,  
VAR-06,COV,INSIDE OUT,30.75,13.25,407.4375,12/8/15,  DIRECTORS
VAR-06,2,STEVE JOBS,20.5,13.25,271.625,12/8/15,  
VAR-06,4,THE DANISH GIRL,10.25,13.25,135.8125,12/8/15,vikander redmayne 
VAR-06,8,JOY,20.5,13.25,271.625,12/8/15,lawrence  
VAR-06,9,GOING CLEAR,10.25,13.25,135.8125,12/8/15,  
VAR-06,11,BEASTS OF NO NATION,10.25,13.25,135.8125,12/8/15,elba  
VAR-06,15,STRAIGHT OUTTA COMPTON,10.25,13.25,135.8125,12/8/15,  
VAR-06,18,ANOMALISA,72,8,576,12/8/15,  
VAR-06,21,CARTEL LAND,10.25,13.25,135.8125,12/8/15,  
VAR-06,56,SIVAS,6.25,10,62.5,12/8/15,  
VAR-06,63,LEKLAKI TARAPAN DUNIA,13,4.25,55.25,12/8/15,  
VAR-06,69,BRIDGE OF SPIES,10.25,13.25,135.8125,12/8/15,rylance  
VAR-06,71,TRAINWRECK,10.25,13.25,135.8125,12/8/15,schumer hader 
VAR-06,83,BEST OF ENEMIES,5.125,6.625,33.953125,12/8/15,  
VAR-06,83,THE WOLFPACK,5.125,6.625,33.953125,12/8/15,  
VAR-06,83,IRIS,5.125,6.625,33.953125,12/8/15,  
VAR-06,83,STEVE JOBS: MAN IN THE MACHINE,5.125,6.625,33.953125,12/8/15,  
VAR-05,COV,JOY,10.25,13.25,135.8125,12/1/15,lawrence  
VAR-05,0,TRAINWRECK,10.25,13.25,135.8125,12/1/15,schumer hader 
VAR-05,2,THE MARTIAN,10.25,13.25,135.8125,12/1/15,damon  
VAR-05,4,STRAIGHT OUTTA COMPTON,20.5,13.25,271.625,12/1/15,  
VAR-05,7,99 HOMES,10.25,13.25,135.8125,12/1/15,shannon  
VAR-05,9,BLACK MASS,10.25,13.25,135.8125,12/1/15,  
VAR-05,10,I SMILE BACK,6.725,10,67.25,12/1/15,silverman  
VAR-05,10,LEARNING TO DRIVE,6.725,10,67.25,12/1/15,clarkson kingsley 
VAR-05,13,BRIDGE OF SPIES,10.25,13.25,135.8125,12/1/15,hanks rylance 
VAR-05,15,THE DANISH GIRL,10.25,13.25,135.8125,12/1/15,vikander redmayne 
VAR-05,17,LOVE & MERCY,10.25,13.25,135.8125,12/1/15,dano  
VAR-05,19,SUFFRAGETTE,10.25,13.25,135.8125,12/1/15,mulligan  
VAR-05,21,CREED,10.25,13.25,135.8125,12/1/15,stallone jordan 
VAR-05,33,LOVE & MERCY,6.75,10,67.5,12/1/15,cusack  
VAR-05,66,LEGEND,10.25,13.25,135.8125,12/1/15,hardy  
VAR-05,69,STEVE JOBS,10.25,13.25,135.8125,12/1/15,fassbender winset 
VAR-05,70,MEADOWLAND,4,10,40,12/1/15,wilde  
VAR-05,71,MR HOLMES,10.25,13.25,135.8125,12/1/15,mckellen  
VAR-05,127,LEKLAKI TARAPAN DUNIA,4.5,13.5,60.75,12/1/15,  
VAR-03,2,STRAIGHT OUTTA COMPTON,10.25,13.25,135.8125,11/17/15,  
VAR-03,4,STEVE JOBS,20.5,13.25,271.625,11/17/15,fassbender winslet 
VAR-03,9,BRIDGE OF SPIES,10.25,13.25,135.8125,11/17/15,hanks  
VAR-03,11,BEASTS OF NO NATION,10.25,13.25,135.8125,11/17/15,elba  
VAR-03,13,LEGEND,10.25,13.25,135.8125,11/17/15,hardy  
VAR-03,21,THE DANISH GIRL,10.25,13.25,135.8125,11/17/15,vikander redmayne 
VAR-03,87,LOVE & MERCY,10.25,13.25,135.8125,11/17/15,dano banks 
VAR-03,89,WHERE TO INVADE NEXT,10.25,13.25,135.8125,11/17/15,  
VAR-03,94,SIVAS,6.5,10,65,11/17/15,  
VAR-03,97,TRAINWRECK,10.25,13.25,135.8125,11/17/15,schumer hader 
VAR-03,121,FELIX & MEIRA,4.25,13,55.25,11/17/15,  
VAR-02,COV,THE MARTIAN,10.25,13.25,135.8125,11/10/15,damon  
VAR-02,2,SWEET MICKEY FOR PRESIDENT,10.25,13.25,135.8125,11/10/15,  
VAR-02,7,WHAT HAPPENED TO MISS SIMONE,10.25,13.25,135.8125,11/10/15,  
VAR-02,8,INSIDE OUT,10.25,13.25,135.8125,11/10/15,  
VAR-02,13,THE DANISH GIRL,10.25,13.25,135.8125,11/10/15,redmayne vikander 
VAR-02,17,WHERE TO INVADE NEXT,10.25,13.25,135.8125,11/10/15,  
VAR-02,23,RACING EXTINCTION,10.25,13.25,135.8125,11/10/15,  
VAR-02,33,TRUTH,10.25,13.25,135.8125,11/10/15,redford blanchett 
VAR-02,50,GO AWAY MR TUMOR,10.25,13.25,135.8125,11/10/15,  
VAR-02,60,DIOR & I,3.41325,13.25,45.2255625,11/10/15,  
VAR-02,60,FINDERS KEEPERS,3.41325,13.25,45.2255625,11/10/15,  
VAR-02,60,CARTEL LAND,3.41325,13.25,45.2255625,11/10/15,  
VAR-02,62,MY VOICE MY LIFE,7,6.5,45.5,11/10/15,  
VAR-02,63,HE NAMED ME MALALA,10.25,13.25,135.8125,11/10/15,  
VAR-02,64,THE BLACK PANTHERS,3.25,10,32.5,11/10/15,  
VAR-02,64,SONG FROM THE FOREST,3.25,10,32.5,11/10/15,  
VAR-02,65,SONG OF LAHORE,10.25,13.25,135.8125,11/10/15,  
VAR-02,66,NEO REALISMO,6.5,5.75,37.375,11/10/15,  
VAR-02,66,INGRID BERGMAN IN HER OWN WORDS,4,10,40,11/10/15,  
VAR-02,67,THE HUNTING GROUND,6.5,10,65,11/10/15,  
VAR-02,67,GOODNIGHT MOMMY,6.5,10,65,11/10/15,  
VAR-02,68,ONLY THE DEAD SEE THE END OF WAR,6.5,5.75,37.375,11/10/15,  
VAR-02,68,DELIMAN,4,10,40,11/10/15,  
VAR-02,69,BEST OF ENEMIES,5.125,6.625,33.953125,11/10/15,  
VAR-02,69,IRIS,5.125,6.625,33.953125,11/10/15,  
VAR-02,69,WOLFPACK,5.125,6.625,33.953125,11/10/15,  
VAR-02,69,STEVE JOBS: MAN IN THE MACHINE,5.125,6.625,33.953125,11/10/15,  
VAR-02,70,SOMETHING BETTER TO COME,6,6.5,39,11/10/15,  
VAR-02,70,FRAME BY FRAME,6,6.5,39,11/10/15,  
VAR-02,71,LISTEN TO ME MARLON,10.25,13.25,135.8125,11/10/15,  
VAR-02,72,A BRAVE HEART,10.25,13.25,135.8125,11/10/15,  
VAR-02,73,WE ARE MANY,10.25,13.25,135.8125,11/10/15,  
VAR-02,74,THE MIND OF MARK DEFOST,6.5,5.75,37.375,11/10/15,  
VAR-02,74,DARK HORSE,4,10,40,11/10/15,  
VAR-02,75,MUSTANG,6.75,10,67.5,11/10/15,  
VAR-02,75,HITCHCOK TRUFFAUT,6.75,10,67.5,11/10/15,  
VAR-02,76,MERV ,7,13.5,94.5,11/10/15,  
VAR-02,77,MINERTA,7,10,70,11/10/15,  
VAR-02,78,ENCLAVE,10.25,13.25,135.8125,11/10/15,  
VAR-02,80,MODRIS,4,10,40,11/10/15,  
VAR-02,81,THE WIDOWMAKER,6.25,10,62.5,11/10/15,  
VAR-02,81,RAMS,7,10,70,11/10/15,  
VAR-02,82,LABYRINTH OF LIES,4,10,40,11/10/15,  
VAR-02,83,THE BRAND NEW TESTAMENT,10.25,13.25,135.8125,11/10/15,  
VAR-02,84,SON OF SAUL,4,10,40,11/10/15,  
VAR-02,85,A WAR,6.5,10,65,11/10/15,  
VAR-02,85,A PIGEON SAT ON A BRANCH REFLECTING ON EXISTANCE,6.5,10,65,11/10/15,  
VAR-02,86,THE FENCE,4,13,52,11/10/15,  
VAR-02,87,VIVA,6.5,10,65,11/10/15,  
VAR-02,87,THE WAVE,6.5,10,65,11/10/15,  
VAR-02,88,YOU CARRY ME,5.75,6.5,37.375,11/10/15,  
VAR-02,88,THE CLUB,6.5,6.5,42.25,11/10/15,  
VAR-02,89,HOME CARE,10.25,13.25,135.8125,11/10/15,  
VAR-02,90,THE THRONE,5.75,6.5,37.375,11/10/15,  
VAR-02,90,BABY ALONE,5.75,6.5,37.375,11/10/15,  
VAR-02,91,11 MINUTES,10.25,13.25,135.8125,11/10/15,  
VAR-02,92,LABYRINTH OF LIES,7,10,70,11/10/15,  
VAR-02,93,600 MILES,10.25,13.25,135.8125,11/10/15,  
VAR-02,94,MOIRA,6.5,10,65,11/10/15,  
VAR-02,94,THE PARADISE SUITE,6.5,10,65,11/10/15,  
VAR-02,95,COURT,10.25,13.25,135.8125,11/10/15,  
VAR-02,96,SIVAS,6.5,10,65,11/10/15,  
VAR-02,97,NO ESSE CATTIVO,10.25,13.25,135.8125,11/10/15,  
VAR-02,98,PRESOS,6.5,10,65,11/10/15,  
VAR-02,98,THEEB,6.5,10,65,11/10/15,  
VAR-02,99,THE HIGH SUN,10.25,13.25,135.8125,11/10/15,  
VAR-02,100,AFERIM,7,10,70,11/10/15,  
VAR-02,101,BABA JOON,10.25,13.25,135.8125,11/10/15,  
VAR-02,102,TO THE FORE,7,10,70,11/10/15,  
VAR-02,103,FLOWERS,10.25,13.25,135.8125,11/10/15,  
VAR-02,104,FELIX & MEIRA,4.25,13,55.25,11/10/15,  
VAR-02,105,THE SECOND MOTHER,6.5,10,65,11/10/15,  
VAR-02,105,EMBRACE OF THE SERPENT,6.5,10,65,11/10/15,  
VAR-02,106,THE JUDGEMENT,4.25,13,55.25,11/10/15,  
VAR-02,107,STRANGER,6.25,10,62.5,11/10/15,  
VAR-02,180,IXCANUL,4.25,13,55.25,11/10/15,  
VAR-02,185,KOZA,4.25,13,55.25,11/10/15,  
VAR-02,195,BECOMING BULLETPROOF,10.25,13.25,135.8125,11/10/15,  
VAR-01,COV,TRAINWRECK,10.25,13.25,135.8125,11/3/15,hader schumer 
VAR-01,55,1944 BROTHERS ENEMIES,4,10,40,11/3/15,  
VAR-01,58,YOU CARRY ME,6.5,7,45.5,11/3/15,  
VAR-01,59,11 MINUTES,4.25,13,55.25,11/3/15,  
VAR-01,62,HOME,10.25,13.25,135.8125,11/3/15,jlo  
VAR-01,65,THE GOOD DINOSAUR,10.25,13.25,135.8125,11/3/15,  
VAR-01,67,MINIONS,10.25,13.25,135.8125,11/3/15,  
VAR-01,69,FURIOUS 7,10.25,13.25,135.8125,11/3/15,  
VAR-01,162,MOOMINS ON THE RIVIERA,6.5,6.5,42.25,11/3/15,  
VAR-09,COV,THE BIG SHORT,10.25,13.25,135.8125,1/5/16,  
VAR-09,7,THE DANISH GIRL,10.25,13.25,135.8125,1/5/16,redmayne vikander 
VAR-09,15,BEASTS OF NO NATION,10.25,13.25,135.8125,1/5/16,elba  
VAR-09,23,SON OF SAUL,5.125,6.625,33.953125,1/5/16,  
VAR-09,23,THE LADY IN THE VAN,5.125,6.625,33.953125,1/5/16,  
